10.05.2023 22:53;56.06;113.9;9.7\n
07.05.2023 14:09;52.47;106.64;9.9\n
07.05.2023 14:07;52.46;106.72;12\n
05.05.2023 18:16;55.19;109.49;9.8\n
04.05.2023 4:26;51.7;96.09;10.7\n
30.04.2023 19:50;54.47;120.69;12.3\n
30.04.2023 3:11;53.14;99.05;11.7\n
20.04.2023 15:43;56.31;117.64;9.5\n
07.04.2023 1:54;52.3;106.62;9.6\n
03.04.2023 7:04;52.65;106.61;12.2\n
02.04.2023 19:57;56.37;117.71;9.5\n
31.03.2023 14:36;53.1;100.83;9.7\n
27.03.2023 16:39;55.41;111.2;9.6\n
25.03.2023 2:37;56.21;111.96;9.6\n
16.03.2023 6:43;56.26;114.28;10.8\n
15.03.2023 4:19;51.26;100.41;9.8\n
08.03.2023 23:12;51.11;99.98;10.4\n
04.03.2023 13:41;51.1;99.98;11.9\n
04.03.2023 1:18;51.17;98.29;13.1\n
03.03.2023 21:30;51.09;99.98;9.9\n
03.03.2023 20:25;51.09;99.94;9.8\n
01.03.2023 8:54;53.49;108.51;9.6\n
28.02.2023 3:11;51.88;105.31;9.5\n
27.02.2023 17:54;56.02;111.02;9.7\n
22.02.2023 23:06;53.63;98.48;12\n
20.02.2023 4:39;56.77;118.34;9.7\n
16.02.2023 3:04;55.89;113.41;11.2\n
16.02.2023 2:35;51.85;105.39;11.7\n
16.02.2023 1:41;53.16;107.71;10\n
13.02.2023 8:12;48.47;106.24;9.6\n
03.02.2023 7:09;48.48;106.29;11.9\n
03.02.2023 7:07;48.47;106.28;11.4\n
25.01.2023 8:29;56.1;113.81;9.7\n
25.01.2023 3:57;56.07;113.78;11.4\n
21.01.2023 13:09;51.09;99.94;11.5\n
21.01.2023 7:52;51.1;99.96;10.2\n
20.01.2023 19:01;52.92;106.97;9.7\n
20.01.2023 13:08;51.06;99.97;11.2\n
20.01.2023 4:01;56.12;113.74;9.6\n
18.01.2023 22:02;52.94;106.95;9.8\n
15.01.2023 22:25;51.1;99.94;10.1\n
14.01.2023 16:53;51.09;99.97;11.2\n
14.01.2023 7:39;51.08;99.97;13.5\n
14.01.2023 3:58;54.94;109.47;9.5\n
13.01.2023 8:08;53.73;107.95;11.1\n
12.01.2023 7:32;54.49;112.71;9.9\n
09.01.2023 15:44;51.28;100.32;10.1\n
07.01.2023 11:59;51.84;101.2;9.9\n
